Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.100-96.16.88.4-63050-443-6,192.168.8.100,63050,96.16.88.4,443,6,28/04/2023 07:10:18 pm,8533850,34,57,3203.0,51916.0,1400.0,0.0,94.20588235294117,279.19915553095404,1400.0,0.0,910.8070175438597,604.7195169957631,6458.866748302349,10.663416863432097,94820.55555555556,518920.17718597304,4632431.0,0.0,8441319.0,255797.54545454544,842035.5604054116,4632431.0,0.0,3901345.0,69666.87499999999,255556.3883476822,1871566.0,0.0,0,0,0,0,716,1176,3.9841337731504542,6.679283090281643,0.0,1400.0,599.1195652173914,642.9255565470603,413353.2712613473,0,1,0,0,0,0,0,0,1.0,605.7032967032967,94.20588235294117,910.8070175438596,0,0,0,0,0,0,34,3203,57,51916,-1,501,8,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.203-63048-443-6,204.79.197.203,443,192.168.8.100,63048,6,28/04/2023 07:10:26 pm,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16379,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-96.16.88.4-63049-443-6,96.16.88.4,443,192.168.8.100,63049,6,28/04/2023 07:10:26 pm,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-96.16.84.8-63052-443-6,96.16.84.8,443,192.168.8.100,63052,6,28/04/2023 07:10:26 pm,0,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,0.0,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-96.16.88.4-63050-443-6,96.16.88.4,443,192.168.8.100,63050,6,28/04/2023 07:10:26 pm,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-40.74.219.49-63057-443-6,192.168.8.100,63057,40.74.219.49,443,6,28/04/2023 07:10:31 pm,2988552,10,13,4520.0,6450.0,1400.0,0.0,452.0,601.9632694590076,1400.0,0.0,496.1538461538461,643.8124527833974,3670.6739584922734,7.696034735216252,135843.27272727274,383901.0125365506,1791833.0,0.0,2750041.0,305560.1111111111,580242.3302932242,1791833.0,0.0,1156088.0,96340.66666666667,128791.56401180188,324525.0,0.0,0,0,0,0,200,284,3.346102058789675,4.349932676426578,0.0,1400.0,457.08333333333326,606.6371966882654,368008.6884057971,0,1,0,0,0,0,0,0,1.0,476.95652173913044,452.0,496.15384615384613,0,0,0,0,0,0,10,4520,13,6450,-1,2046,5,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.3.128-63059-443-6,192.168.8.100,63059,13.107.3.128,443,6,28/04/2023 07:10:35 pm,374461,5,8,3809.0,370.0,1400.0,0.0,761.8,618.1716590074313,229.0,0.0,46.25,88.80918549661081,11160.040698497307,34.716565944117015,31205.083333333325,47426.62012655749,126459.0,0.0,90790.0,22697.5,44782.4425528577,89868.0,0.0,374461.0,53494.428571428565,52816.87414976753,127113.0,0.0,0,0,0,0,100,184,13.352525363121927,21.364040580995084,0.0,1400.0,298.5,500.39457507973725,250394.73076923078,0,1,0,0,0,0,0,0,1.0,321.46153846153845,761.8,46.25,0,0,0,0,0,0,5,3809,8,370,-1,16382,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.3.128-63059-443-6,192.168.8.100,63059,13.107.3.128,443,6,28/04/2023 07:10:36 pm,2847,3,1,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,10888.654724271162,1404.9877063575693,949.0,867.2756193967406,1916.0,240.0,2607.0,1303.5,866.2058069535207,1916.0,691.0,0,0,0,0,0,0,0,0,0,60,20,1053.740779768177,351.24692658939233,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,10.333333333333334,0.0,0,0,0,0,0,0,3,31,1,0,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.21.200-63039-443-6,192.168.8.100,63039,13.107.21.200,443,6,28/04/2023 07:10:38 pm,100253,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.924291542397736,50126.5,70889.57613429496,100253.0,0.0,0,0,0,0,0,100253.0,50126.5,70889.57613429496,100253.0,0.0,0,0,0,0,0,60,0.0,29.924291542397736,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,16380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.3.254-63058-443-6,192.168.8.100,63058,13.107.3.254,443,6,28/04/2023 07:10:35 pm,3263506,53,97,1522.0,111194.0,517.0,0.0,28.716981132075468,95.03731602304971,1400.0,0.0,1146.3298969072162,503.7691626142187,34538.315541629156,45.96283873846103,21902.724832214764,63617.20306124698,583358.0,0.0,3172533.0,61010.250000000015,99550.90171460617,583358.0,565.0,2638672.0,27486.166666666675,59789.168877009055,569560.0,0.0,0,0,0,0,1060,1964,16.2402030209229,29.722635717538132,0.0,1400.0,746.4635761589403,674.3055566020937,454687.9836644594,0,1,0,0,0,0,0,0,1.0,751.44,28.71698113207547,1146.3298969072166,0,0,0,0,0,0,53,1522,97,111194,-1,16384,7,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.3.254-63058-443-6,192.168.8.100,63058,13.107.3.254,443,6,28/04/2023 07:10:39 pm,600163,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.332428023720223,600163.0,0.0,600163.0,600163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.6662140118601114,1.6662140118601114,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.3.254-63058-443-6,13.107.3.254,443,192.168.8.100,63058,6,28/04/2023 07:10:40 pm,549,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3642.9872495446266,549.0,0.0,549.0,549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1821.4936247723133,1821.4936247723133,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.6.163-63067-443-6,192.168.8.100,63067,13.107.6.163,443,6,28/04/2023 07:10:40 pm,3466997,10,16,2112.0,6945.0,1300.0,0.0,211.2,414.6542870606522,1400.0,0.0,434.06250000000006,601.1760106934851,2612.34722729786,7.499285404631155,138679.88,616373.4563414943,3093412.0,0.0,3380810.0,375645.55555555556,1037215.997625267,3139403.0,111.0,373585.0,24905.666666666668,40236.34905630669,108582.0,0.0,0,0,0,0,200,344,2.8843405402427518,4.614944864388403,0.0,1400.0,335.44444444444434,533.1737581785663,284274.2564102564,0,1,0,0,0,0,0,0,1.0,348.34615384615387,211.2,434.0625,0,0,0,0,0,0,10,2112,16,6945,-1,16384,5,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.6.163-63068-443-6,192.168.8.100,63068,13.107.6.163,443,6,28/04/2023 07:10:40 pm,3413824,7,12,675.0,6667.0,517.0,0.0,96.42857142857143,194.5780538694409,1400.0,0.0,555.5833333333334,652.8251134782414,2150.6674040606663,5.565606194109597,189656.8888888889,732761.5726982163,3122343.0,0.0,3311183.0,551863.8333333333,1260035.1519384554,3122343.0,782.0,291402.0,26491.090909090904,44169.24989278071,102489.0,0.0,0,0,0,0,140,264,2.0504864925666935,3.515119701542903,0.0,1400.0,367.1000000000001,561.4392126256272,315213.98947368417,0,1,0,0,0,0,0,0,1.0,386.42105263157896,96.42857142857143,555.5833333333334,0,0,0,0,0,0,7,675,12,6667,-1,16381,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.254-63060-443-6,192.168.8.100,63060,204.79.197.254,443,6,28/04/2023 07:10:36 pm,7710108,53,98,1521.0,111193.0,517.0,0.0,28.698113207547166,95.02460914166078,1400.0,0.0,1134.6224489795916,514.3842984589996,14618.991069904598,19.584680266476163,51400.719999999994,330620.5028332834,3707300.0,0.0,7633705.0,146802.01923076925,553081.7319296787,3707300.0,237.0,4002498.0,41262.86597938145,181994.63779701662,1791708.0,0.0,0,0,0,0,1060,1984,6.874093073663819,12.710587192812344,0.0,1400.0,741.5394736842107,674.8006022049364,455355.8527361448,0,1,0,0,0,0,0,0,1.0,746.4503311258278,28.69811320754717,1134.6224489795918,0,0,0,0,0,0,53,1521,98,111193,-1,16384,7,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.254-63060-443-6,204.79.197.254,443,192.168.8.100,63060,6,28/04/2023 07:10:44 pm,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-13.107.6.163-63067-443-6,13.107.6.163,443,192.168.8.100,63067,6,28/04/2023 07:10:44 pm,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
184.31.8.5-192.168.8.100-80-63074-6,192.168.8.100,63074,184.31.8.5,80,6,28/04/2023 07:10:44 pm,190895,3,4,82.0,151.0,82.0,0.0,27.333333333333336,47.34272207354931,151.0,0.0,37.75,75.5,1220.5662798920873,36.6693732156421,31815.833333333336,44533.52180286965,91669.0,118.0,99108.0,49554.0,55623.84783525857,88886.0,10222.0,190679.0,63559.66666666667,53201.16530991904,96810.0,2200.0,0,0,0,0,60,104,15.715445663846616,20.953927551795488,0.0,151.0,29.125,56.99483059265739,3248.410714285714,0,1,0,0,0,0,0,0,1.0,33.285714285714285,27.333333333333332,37.75,0,0,0,0,0,0,3,82,4,151,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.203-63079-443-6,192.168.8.100,63079,204.79.197.203,443,6,28/04/2023 07:10:55 pm,1673657,18,21,1508.0,13642.0,517.0,0.0,83.77777777777777,168.58112222678383,1400.0,0.0,649.6190476190477,674.267860437562,9052.033959168455,23.302265637463353,44043.6052631579,81114.801271571,300885.0,0.0,1602000.0,94235.29411764708,113193.46843224035,300885.0,91.0,1633780.0,81689.0,154795.74035721022,535069.0,0.0,0,0,0,0,444,480,10.754891832675392,12.54737380478796,0.0,1400.0,378.75,573.4791145907539,328878.294871795,0,1,0,0,0,0,0,0,1.0,388.46153846153845,83.77777777777777,649.6190476190476,0,0,0,0,0,0,18,1508,21,13642,-1,16381,5,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-96.16.88.4-63081-443-6,192.168.8.100,63081,96.16.88.4,443,6,28/04/2023 07:10:55 pm,1671834,6,8,597.0,6045.0,517.0,0.0,99.5,207.02053038285842,1400.0,0.0,755.625,685.9054365268895,3972.8824751739703,8.374037135265821,128602.6153846154,225016.66067150768,695843.0,92.0,1242532.0,248506.4,313087.87939219235,737370.0,644.0,1587733.0,226818.99999999997,276064.7685477691,696646.0,13033.0,0,0,0,0,120,184,3.5888730579710666,4.7851640772947555,0.0,1400.0,442.8,609.0759042540241,370973.4571428571,0,1,0,0,0,0,0,0,1.0,474.42857142857144,99.5,755.625,0,0,0,0,0,0,6,597,8,6045,-1,501,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-68.219.88.97-63085-443-6,192.168.8.100,63085,68.219.88.97,443,6,28/04/2023 07:10:55 pm,1668805,9,11,1127.0,7792.0,517.0,0.0,125.22222222222223,224.19343086817787,1400.0,0.0,708.3636363636364,688.4312998008257,5344.542951393362,11.984623727757286,87831.84210526315,208634.37774123822,837766.0,0.0,1241918.0,155239.75,285463.11884862767,837766.0,417.0,1628779.0,162877.9,295519.59974197234,910264.0,0.0,0,0,0,0,192,256,5.393080677490779,6.591543050266508,0.0,1400.0,424.71428571428567,592.205466274767,350707.31428571424,0,1,0,0,0,0,0,0,1.0,445.95,125.22222222222223,708.3636363636364,0,0,0,0,0,0,9,1127,11,7792,-1,2048,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.200-63086-443-6,192.168.8.100,63086,204.79.197.200,443,6,28/04/2023 07:10:55 pm,1668458,9,13,675.0,7447.0,517.0,0.0,75.0,173.79154179648677,1400.0,0.0,572.8461538461539,686.6000590049794,4867.9679080923825,13.185827872202957,79450.38095238096,180847.2560196798,620516.0,0.0,1242635.0,155329.37500000003,243150.20100337602,620614.0,602.0,1663011.0,138584.25,225277.13481686387,621316.0,0.0,0,0,0,0,192,296,5.3942023113557545,7.791625560847201,0.0,1400.0,353.13043478260875,577.8938487259204,333961.30039525696,0,1,0,0,0,0,0,0,1.0,369.1818181818182,75.0,572.8461538461538,0,0,0,0,0,0,9,675,13,7447,-1,16381,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-108.157.98.79-63083-443-6,192.168.8.100,63083,108.157.98.79,443,6,28/04/2023 07:10:55 pm,1670513,7,11,581.0,6234.0,517.0,0.0,83.00000000000001,192.85659611915446,1400.0,0.0,566.7272727272727,671.8376427246527,4079.585133429073,10.775133147721688,98265.4705882353,190881.48420588026,553701.0,0.0,1286967.0,214494.5,265150.11072730104,577223.0,426.0,1536368.0,153636.80000000005,235494.99103321356,554309.0,0.0,0,0,0,0,140,244,4.190329557447323,6.584803590274365,0.0,1400.0,358.6842105263158,571.2358972372076,326310.4502923976,0,1,0,0,0,0,0,0,1.0,378.6111111111111,83.0,566.7272727272727,0,0,0,0,0,0,7,581,11,6234,-1,131,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-96.16.84.8-63084-443-6,192.168.8.100,63084,96.16.84.8,443,6,28/04/2023 07:10:55 pm,1669494,6,8,643.0,3855.0,517.0,0.0,107.16666666666666,207.00571650721793,1400.0,0.0,481.87500000000006,626.4878148398875,2694.229509060829,8.385774372354737,128422.61538461539,239281.15785359367,775137.0,52.0,1242640.0,248528.0,352492.8544992083,795581.0,721.0,1597738.0,228248.28571428568,298632.3865349695,775938.0,374.0,0,0,0,0,120,184,3.5939033024377447,4.791871069916993,0.0,1400.0,299.8666666666667,502.8065328969081,252814.4095238095,0,1,0,0,0,0,0,0,1.0,321.2857142857143,107.16666666666667,481.875,0,0,0,0,0,0,6,643,8,3855,-1,501,2,0,0,0,0,0,0,0,0,0,No Label
